Index	Tweet
0	graças a deus eu paro de tomar esse veneno que é o azitromicina já não aguento trabalhar com essa dor de estômago .
1	o bom da azitromicina é que além de ser bom pra doença é maravilhoso pra pele e faz efeito bem rápido .
2	pérolas da dra p azitromicina foi muito usada pra dor de piolho oi .
3	só qiem sofre mensalmente de inchaço nas amidalas sabe o poder de uma azitromicina e como é importante ter umas 2 caixas em casa sempre kkkk .
4	tomar azitromicina é o msm que dar um tiro no estômago pqp q dor do crlh .
5	eu saio da ansiedade mais a ansiedade gosta de bromazepam .
6	indo dormir com dor de cabeça pra variar vivendo nesse hospício só com uma dose de bromazepam p acalmar .
7	tomava o paroxetina pra ansiedade e depressão bromazepam era pra insônia e sintomas depressivos .
8	bromoprida o médico disse q seria preciso contra enjôo e náuseas assim seguimos acompanhando à sessão .
9	bromoprida para mal estar e neosaldina pra dor ce cabeça mas sua dor de cabeça deve ser consequência do mal estar .
10	recklessbutfab é só bromoprida eu fiquei com tontura e dor de cabeça enquanto dormia e aí sonhei louco .
11	você faz tratamento pra ansiedade e depressão toma sim venlafaxina 375 mg e bupropiona 150 mg http curiouscat me nightsofwonders post 30297274 .
12	a gente volta p tt quando n tem mais opção do que fazer e a essa hora da madrugada e com tanta cafeína na cabeça a agitação vem a tona .
13	acordei de ressaca e sono fui pra aula tomei remédio pra dor de cabeça que tem cafeína chego em casa doida pra dormir mas não consigo .
14	cafeína é maravilhoso pra dor de cabeça ou toma um chá preto analgésico energético slá .
15	cafeína melhora dor de cabeça tem até um tylenol só pra dor de cabeça que é com cafeína .
16	cafeína não é legal pra ansiedade .
17	é pq eu tenho muito desses tremores causados pela ansiedade sabe aí a cafeína piora mais ainda junto com os outros sintomas .
18	eu louca querendo dormir por causa da dor e minha mãe me dá um remédio que tira a dor mas contém cafeína q tira o sono .
19	eu tava com dor de cabeça tomei remédio tem cafeína agora que não durmo mesmo .
20	eu to paralisada de dor e todo remédio pra dor de cabeça tem cafeína por isso não entendi .
21	eu tomei relaxante muscular e intiinflamatorio pra dor nas costas e 2 pílulas de cafeína eu estou morrendo de sono .
22	gente acabei de ler aqui que cafeína não faz bem no calor pelo mal que tô passando a informação procede staysafe belohorizonte60graus .
23	houve alguma coisa dongsaeng eu tô bem só com dor de cabeça por falta de cafeína .
24	i cant believveeee tomei um remédio pra dor de cabeça e esqueci que tem cafeína nele agkra que eu só consigo dormir amanhã mesmo .
25	legar que exagero de cafeína pode te fuder com dor de cabeça enjoou insonia e como ela mexe com os batimentos cardíacos pode dar ritmia .
26	minha dores de cabeças são sempre tensionais por causa da minha ansiedade mas sinto que a cafeína fez aumentar .
27	muita cafeína pra aguentar esses dias com o calor não durmo direito e no trabalho caio no sono .
28	n tomei café hj ainda to morrendo de dor de cabeça preciso de cafeína socorro .
29	não posso dormir demais pq da aquela dor de cabeça de abstinência de cafeína .
30	não queria tomar café agora mas eu infelizmente estou com uma dor de cabeça que grita cafeína que que eu faço .
31	não sei quem culpar pela enxaqueca de hoje o cabelo a vista ou a falta da cafeína .
32	nesse calor é impossível não suar imagina com 420g de cafeína no sangue kkk .
33	nossa eu tive q fazer café pq tava com dor cabeça pela falta de cafeína .
34	o foda de eu tomar meu remédio de dor de cabeça é que é cafeína pura e me deixa sem nenhum sono .
35	o foda é eu estar com dor de cabeça e não poder tomar remédio porque o remédio tem cafeína e eu tenho labirintite .
36	o q será q acontece se eu tomar remédio p dor de cabeça c cafeína e calmante .
37	quase todos os remédios p dor de cabeça têm cafeína eu amo cafeína mas não num remédio que supostamente era pra te deixar calma e sem dor .
38	quatro dias sem cafeína e quatro dias chorando com uma enxaqueca the moniaca serasse que estou viciada .
39	quer dizer toma cafeína é bom pra dor .
40	queria matcha café quente nesse calor não dá e gelado perde cafeína né .
41	se não fosse a cafeína eu estaria em coma agora .
42	tá osso trabalhar com esse calor cadê as pílulas de cafeína quand a gente precisa delas .
43	tinha planos de entrar em coma hoje mas se eu dormir agora acordo umas 4h da manhã parecendo que tomei cafeína na veia .
44	to tomando remédio pra dor muscular e apesar de ter cafeína me deixou o dia todo com sono .
45	tomei uns dois remédios pra dor antes agora tomei um pra enxaqueca que contém cafeína quero ver se nao passa essa dor .
46	vest me trouxe coisas incriveis como insônia vicio em cafeína enxaqueca .
47	viciados em cafeína sofrem no calor .
48	vício de cafeína é fogo passei a manhã com dor de cabeça e só agora me toquei que não tomei um gole de café ainda .
49	amora é rico em cálcio amor é rico em calor https www instagram com p 18q9dtko pic twitter com k6zw84nsfy .
50	desde q sou pequena minha mãe reclama d uma dor na perna e todos os médicos sempre falavam q era falta de cálcio .
51	eu sofro de toc depressão anemia problemas respiratórios falta de vitaminas falta de cálcio íos problema nos ovários e vcs .
52	não poxa que pena bom pra dor assim é omeprazol a. não precisa de beber litros de leite para ir buscar o cálcio de que necessita coma mais legumes de folha verde http fb me 4hhkpyf0x .
53	tomei captopril achando que era pra dor mais er pra pressão agr to começando ver tudo roda mane .
54	vou tomar meu captopril para não enfartar de tanta raiva hoje jogam de titulares wellington cesar e leandrinho .
55	levanta a mão quem tomou 10 comprimidos de tramal 4 de dipirona 2 de lyrica 1 carbamazepina e ainda está com dor o. levantei rápido e com a dor intensa deu vertigem acho que foi isso ou pode ser por conta da baixa de glicose tbm sei lá .
56	eu deveria tomar o remédio pra dor só de manhã mas como n to conseguindo dormir vou tomar agr mesmo q dormir chapada de carisoprodol .
57	eu to deitada queimando de febre mt dor na garganta se alguém tiver amoxilina ou cefalexina pfvr falem cmg .
58	minha mãe comprou cefalexina p eu tomar só de olhar p caixa me dá dor de estômago .
59	quase morri de tanta febre sequei um frasco de dipirona duas cartelas de cefalexina e minha mãe ainda queria q eu fosse p hospital sozinha .
60	e pra quando vc tiver com a alergia muito arregaçada vc pode tomar beclometasona ou fluticasona betametasona dexametasona .
61	ah é bom saber quando tomei dipirona eu fiquei em coma só .
62	ai fudeu ai eu vou ficar poha suavekkkkkkkkkkk haja dipirona pra essas dor de cabeça jesus .
