Index	Candidate	Drug	Drug_Char_Start	Drug_Char_end	Drug_Word_Index	Event	Event_Char_Start	Event_Char_end	Event_Word_Index	Is_inverted	LABEL
0	eu sou alergia a dipirona ai	dipirona	17	24	4	alergia	7	13	2	1	-1
1	vacina de alergia .	vacina	0	5	0	alergia	10	16	2	0	-1
2	vou tomar meu captopril para não enfartar de tanta raiva hoje jogam de titulares wellington cesar e leandrinho .	captopril	14	22	3	raiva	51	55	9	0	-1
3	mano que dor de cabeça sinto que vou morrer isso que dá falta de cafeína no organismo .	cafeína	65	71	14	dor de cabeça	9	21	38058	1	-1
4	tá doendo demais essa cabeça minha já tomei dipirona e nada o pior é que dipirona vai aumentar minha azia eu to é na bosta mesmo .	dipirona	44	51	8	azia	101	104	19	0	-1
5	tá doendo demais essa cabeça minha já tomei dipirona e nada o pior é que dipirona vai aumentar minha azia eu to é na bosta mesmo .	dipirona	73	80	15	azia	101	104	19	0	-1
6	p colica aí começou essa porra de dor esquisita aí eu tomei um dorflex e essa desgraça não passa .	dorflex	63	69	13	dor	34	36	7	1	-1
7	q dor de garganta vamos tomar bastante nimesulida .	nimesulida	39	48	7	dor de garganta	2	16	39078	1	-1
8	dipirona é mais pra cólica dor de cabeça .	dipirona	0	7	0	dor de cabeça	27	39	28046	0	-1
9	toma dilma toma a loperamida é um medicamento antidiarreico que ajuda a diminuir o trânsito intestinal reduzindo a ocorrência de diarreia .	loperamida	18	27	4	diarreia	129	136	20	0	-1
10	to com muito enjôo do cheiro do óleo de rícino .	óleo de rícino	32	45	40716	enjôo	13	17	3	1	-1
11	não tenho motivo pra ter depressão enfia no cu minha cartela de sertralina .	sertralina	64	73	12	depressão	25	33	5	1	-1
12	atrofiei pessoas esquizofrénicas produzem dopamina a mais pessoas com depressão pós parto produzem a menos a minha mãe tem os dois .	dopamina	42	49	4	depressão	70	78	9	0	-1
13	esse calor tira toda a nicotina do corpo kkkkkkkkkkkkk .	nicotina	23	30	5	calor	5	9	1	1	-1
15	o que tem haver dor de cabeça com glicose .	glicose	34	40	8	dor de cabeça	16	28	39019	1	-1
16	o cheiro é psicoativo suor que derrama sua pele excita dopamina quero alta dosagem .	dopamina	55	62	10	suor	22	25	4	1	-1
17	se isso acontece é pq tem algo no seu estômago dor no corpo pode ser um reflexo de fraqueza por falta de vitamina .	vitamina	105	112	22	fraqueza	83	90	18	1	-1
18	se isso acontece é pq tem algo no seu estômago dor no corpo pode ser um reflexo de fraqueza por falta de vitamina .	vitamina	105	112	22	dor	47	49	10	1	-1
19	e eu que achava que alergia a dipirona era frescura .	dipirona	30	37	7	alergia	20	26	5	1	-1
20	amiga dor tem que tomar omeprazol .	omeprazol	24	32	5	dor	6	8	1	1	-1
22	galera digam um remédio pra dor aí pq nimesulida tá adiantando não .	nimesulida	38	47	8	dor	28	30	5	1	-1
