Sentença	 Span_1 	 Span_2 
meus parabéns pra que inventou azitromicina ontem eu não tava conseguindo engolir nem água hoje eu nem sei mais o que é dor de garganta .	azitromicina	dor de garganta
pensando seriamente em ir no anchieta tomar dipirona na veia tô com muita enxaqueca hoje .	dipirona	enxaqueca
toma um remédio de gripe então ele já da um soninho bom se não tiver alergia toma dipirona e fecha os olhos deitada na cama .	dipirona	alergia
toma um remédio de gripe então ele já da um soninho bom se não tiver alergia toma dipirona e fecha os olhos deitada na cama .	dipirona	gripe
dor de cabeça e tontura graças a glicose joelho fodido não sei pq mãe reinando que hoje não saio de casa tudo bem bom pra esse sábado .	glicose	tontura
dor de cabeça e tontura graças a glicose joelho fodido não sei pq mãe reinando que hoje não saio de casa tudo bem bom pra esse sábado .	glicose	dor de cabeça
fiquei tão nervosa que me deu enxaqueca e vim no starbucks e é incrível como a cafeína é maravilhosa .	cafeína	enxaqueca
pode tomar remédio pra dor de cabeça quando se toma roacutan isotretinoína google pesquisar .	isotretinoína	dor de cabeça
pode tomar remédio pra dor de cabeça quando se toma roacutan isotretinoína google pesquisar .	roacutan	dor de cabeça
vitamina antidepressivo que voltei ontem remédio p cólica pra pressão baixa pra anemia e pra dor de garganta .	vitamina	dor de garganta
vitamina antidepressivo que voltei ontem remédio p cólica pra pressão baixa pra anemia e pra dor de garganta .	vitamina	anemia
vou ver mais ringer so que to nervosa com as morte e o estupro e tudo .	ringer	morte
só não volto pro topiramato pq os efeitos colaterais chatos são bem piores como formigamento das mãos perda de memória e depressao .	topiramato	perda de memória
só não volto pro topiramato pq os efeitos colaterais chatos são bem piores como formigamento das mãos perda de memória e depressao .	topiramato	formigamento
só não volto pro topiramato pq os efeitos colaterais chatos são bem piores como formigamento das mãos perda de memória e depressao .	pro	perda de memória
só não volto pro topiramato pq os efeitos colaterais chatos são bem piores como formigamento das mãos perda de memória e depressao .	pro	formigamento
aqui tá um calor tão desgraçado q tô jogando dipirona no ar pra ver se a temperatura abaixa beyonce artist of the year amas .	dipirona	calor
mais um dia tendo que decidir entre ficar acordada morrendo de dor ou dormir 873485345 horas dopada de ibuprofeno .	ibuprofeno	dor
a pior parte da vacina é a maldita febre e dor que ele sente já mediquei mas tô aqui do lado vigiando pra ver se ela passa .	vacina	febre
a pior parte da vacina é a maldita febre e dor que ele sente já mediquei mas tô aqui do lado vigiando pra ver se ela passa .	vacina	dor
meu estomago ja eh fodido ai me da umas dor absurda eu tomo nimesulida ai fode mais .	nimesulida	dor
esse calor fez minha pressão abaixar e minha glicose aumentar .	glicose	calor
ontem mesmo descobri que a glicose do meu irmão tava acima de 600 ele poderia entrar em coma a qualquer momento e agora tá internado .	glicose	coma
vcs q falam que minhas dores eh por causa de ansiedade me explica entao se eu acabei de tomar rivotril quetiapina e continuo morrendo .	rivotril	ansiedade
vcs q falam que minhas dores eh por causa de ansiedade me explica entao se eu acabei de tomar rivotril quetiapina e continuo morrendo .	quetiapina	ansiedade
entra pro time da domperidona melhora a dor e enjoo melhoras .	domperidona	dor
entra pro time da domperidona melhora a dor e enjoo melhoras .	domperidona	enjoo
entra pro time da domperidona melhora a dor e enjoo melhoras .	pro	dor
entra pro time da domperidona melhora a dor e enjoo melhoras .	pro	enjoo
passei óleo ricino no meu cabelo o cheiro e tão forte que estar me dando dor de cabeça .	óleo	dor de cabeça
naproxeno alguém conhece pra enxaqueca o medico receitou ontem .	naproxeno	enxaqueca
se for enxaqueca minha mãe time o sumatriptano age rápido e dá menos efeito colateral q o cefaliv .	sumatriptano	enxaqueca
se for enxaqueca minha mãe time o sumatriptano age rápido e dá menos efeito colateral q o cefaliv .	cefaliv	enxaqueca
topiramato pode curar dependência de drogas http bit ly 226ouay vivomaissaudavel .	topiramato	dependência
acordei com uma dor terrível no joelho passou efeito do ibuprofeno não conseguia levantar passei um spray pra dor e o bicho fez milagre .	ibuprofeno	dor
desculpa me intrometer mas eu tinha muita azia na gravidez e tomava hidróxido de alumínio geralmente vem c gosto de menta .	hidróxido de alumínio	azia
acordei com uma dor terrível no joelho passou efeito do ibuprofeno não conseguia levantar passei um spray pra dor e o bicho fez milagre .	ibuprofeno	dor
kklkkklkk eu tomei vacina pq eu nunca tive uma dor de cabeça .	vacina	dor de cabeça
acordei com uma dor terrível no joelho passou efeito do ibuprofeno não conseguia levantar passei um spray pra dor e o bicho fez milagre .	spray	dor
a vida eu queria ser o porco pq o porco ta la curtindo a praia eu mesna to aq derretendo nesse calor .	mesna	calor
acordei com uma dor terrível no joelho passou efeito do ibuprofeno não conseguia levantar passei um spray pra dor e o bicho fez milagre .	spray	dor
se nunca realmente tocamos nada pq sentimos dor ao tomar vacina horadeporcafé .	vacina	dor
dê adeus ao inchaço e controle sua glicose com esta simples receita http vibe5 com saude de adeus ao inchaco e controle sua glicose com esta simples receita .	glicose	inchaço
purposgmz queda de pressão fraqueza glicose baixa altas merdas .	glicose	fraqueza
dê adeus ao inchaço e controle sua glicose com esta simples receita http vibe5 com saude de adeus ao inchaco e controle sua glicose com esta simples receita .	glicose	inchaço
mas não eu sou burra e tomo 5 litros de suco de laranja quando tô morrendo de dor de estômago oq seria de mim sem omeprazol .	omeprazol	dor
fluoxetina causa dependência e eu não me importo em depender de algo que me deixa maravilhosamente bem .	fluoxetina	dependência
hdshshsb ah é que depende qual q vc toma né se for de progesterona ele tem tendência de piorar acne .	progesterona	acne
procurei coisas caseiras pra azia bicarbonato de sódio chá chá chá chá .	bicarbonato de sódio	azia
to louca de dor na minha cirurgia tomei dois ibuprofeno tomara q passe logo .	ibuprofeno	dor
pois é eu tenho alergia a dipirona só posso tomar paracetamol como que eu fico .	dipirona	alergia
caralho fui beber a dipirona meu olho ta inchado kkkkkkkkkkkkk um olho grande e outro pequeno deu alergia braba .	dipirona	alergia
pois é eu tenho alergia a dipirona só posso tomar paracetamol como que eu fico .	paracetamol	alergia
levanta a mão quem tomou 10 comprimidos de tramal 4 de dipirona 2 de lyrica 1 carbamazepina e ainda está com dor o. levantei rápido e com a dor intensa deu vertigem acho que foi isso ou pode ser por conta da baixa de glicose tbm sei lá .	tramal	dor
embora ultimamente eu esteja com muita oxitocina no corpo vulgo amor eu passo raiva bad as vezessss .	oxitocina	raiva
levanta a mão quem tomou 10 comprimidos de tramal 4 de dipirona 2 de lyrica 1 carbamazepina e ainda está com dor o. levantei rápido e com a dor intensa deu vertigem acho que foi isso ou pode ser por conta da baixa de glicose tbm sei lá .	tramal	dor
eu só queria morfina e um quarto escuro coma induzido e bill withers tocando .	morfina	coma
levanta a mão quem tomou 10 comprimidos de tramal 4 de dipirona 2 de lyrica 1 carbamazepina e ainda está com dor o. levantei rápido e com a dor intensa deu vertigem acho que foi isso ou pode ser por conta da baixa de glicose tbm sei lá .	tramal	vertigem
que beijar deve ser bom mas cês já tomaram omeprazol quando a azia tá matando .	omeprazol	azia
levanta a mão quem tomou 10 comprimidos de tramal 4 de dipirona 2 de lyrica 1 carbamazepina e ainda está com dor o. levantei rápido e com a dor intensa deu vertigem acho que foi isso ou pode ser por conta da baixa de glicose tbm sei lá .	carbamazepina	dor
rououshiki tinha começado a tratar minha ansiedade com fluoxetina mas tive efeitos colaterais terríveis .	fluoxetina	ansiedade
levanta a mão quem tomou 10 comprimidos de tramal 4 de dipirona 2 de lyrica 1 carbamazepina e ainda está com dor o. levantei rápido e com a dor intensa deu vertigem acho que foi isso ou pode ser por conta da baixa de glicose tbm sei lá .	carbamazepina	dor
levanta a mão quem tomou 10 comprimidos de tramal 4 de dipirona 2 de lyrica 1 carbamazepina e ainda está com dor o. levantei rápido e com a dor intensa deu vertigem acho que foi isso ou pode ser por conta da baixa de glicose tbm sei lá .	carbamazepina	vertigem
levanta a mão quem tomou 10 comprimidos de tramal 4 de dipirona 2 de lyrica 1 carbamazepina e ainda está com dor o. levantei rápido e com a dor intensa deu vertigem acho que foi isso ou pode ser por conta da baixa de glicose tbm sei lá .	lyrica	dor
levanta a mão quem tomou 10 comprimidos de tramal 4 de dipirona 2 de lyrica 1 carbamazepina e ainda está com dor o. levantei rápido e com a dor intensa deu vertigem acho que foi isso ou pode ser por conta da baixa de glicose tbm sei lá .	lyrica	dor
levanta a mão quem tomou 10 comprimidos de tramal 4 de dipirona 2 de lyrica 1 carbamazepina e ainda está com dor o. levantei rápido e com a dor intensa deu vertigem acho que foi isso ou pode ser por conta da baixa de glicose tbm sei lá .	lyrica	vertigem
levanta a mão quem tomou 10 comprimidos de tramal 4 de dipirona 2 de lyrica 1 carbamazepina e ainda está com dor o. levantei rápido e com a dor intensa deu vertigem acho que foi isso ou pode ser por conta da baixa de glicose tbm sei lá .	dipirona	dor
levanta a mão quem tomou 10 comprimidos de tramal 4 de dipirona 2 de lyrica 1 carbamazepina e ainda está com dor o. levantei rápido e com a dor intensa deu vertigem acho que foi isso ou pode ser por conta da baixa de glicose tbm sei lá .	dipirona	dor
levanta a mão quem tomou 10 comprimidos de tramal 4 de dipirona 2 de lyrica 1 carbamazepina e ainda está com dor o. levantei rápido e com a dor intensa deu vertigem acho que foi isso ou pode ser por conta da baixa de glicose tbm sei lá .	dipirona	vertigem
levanta a mão quem tomou 10 comprimidos de tramal 4 de dipirona 2 de lyrica 1 carbamazepina e ainda está com dor o. levantei rápido e com a dor intensa deu vertigem acho que foi isso ou pode ser por conta da baixa de glicose tbm sei lá .	glicose	dor
levanta a mão quem tomou 10 comprimidos de tramal 4 de dipirona 2 de lyrica 1 carbamazepina e ainda está com dor o. levantei rápido e com a dor intensa deu vertigem acho que foi isso ou pode ser por conta da baixa de glicose tbm sei lá .	glicose	dor
levanta a mão quem tomou 10 comprimidos de tramal 4 de dipirona 2 de lyrica 1 carbamazepina e ainda está com dor o. levantei rápido e com a dor intensa deu vertigem acho que foi isso ou pode ser por conta da baixa de glicose tbm sei lá .	glicose	vertigem
quando eliminei umas culpas da mente percebi q dei uma melhorada refluxo e azia diminuíram muito faz mais de um mês q n tomo omeprazol .	omeprazol	azia
e com sabonete específico pra rosto ou de glicerina nunca usar nada em creme no rosto so em gel comprar protegor anti acne .	creme	acne
e com sabonete específico pra rosto ou de glicerina nunca usar nada em creme no rosto so em gel comprar protegor anti acne .	glicerina	acne
e com sabonete específico pra rosto ou de glicerina nunca usar nada em creme no rosto so em gel comprar protegor anti acne .	anti	acne
eu tomo paracetamol e fico com calor pra caralho .	paracetamol	com calor
acordei com a cabeça doendo tomei 1 6g de dipirona relaxante muscular 550 mg de naproxeno e a dor não passou a próxima conduta é um tiro .	dipirona	dor
acordei com a cabeça doendo tomei 1 6g de dipirona relaxante muscular 550 mg de naproxeno e a dor não passou a próxima conduta é um tiro .	naproxeno	dor
progesterona de diarreia .	progesterona	diarreia
eu to tão nervosa que já começou a dor no estômago tratei logo de tomar meu omeprazol .	omeprazol	dor
preciso de lamotrigina t t as crises de ansiedade estão voltando e dessa vez o ambiente não é tóxico t t mas não tô achando nas farmácia .	lamotrigina	ansiedade
pensando seriamente em me dopar com tramadol p dormir até amanhã e não sentir dor .	tramadol	dor
to com medo de tá com alergia a cafeina yay .	cafeina	medo
to com medo de tá com alergia a cafeina yay .	cafeina	alergia
níveis de glicose no sangue acima do ideal causaram 2 2 milhões de mortes ao aumentar risco de doença cardiovascular molina diabetes ms.	glicose	doença cardiovascular
tocosono amig tome tylenol ou dipirona pra essa febre se a garganta estiver inflamada tu toma nimesulida 12 em 12h pros catarro eu n sei .	dipirona	febre
níveis de glicose no sangue acima do ideal causaram 2 2 milhões de mortes ao aumentar risco de doença cardiovascular molina diabetes ms.	glicose	diabetes
67 sou alergica a dipirona ent nao posso tomar remedio para colica ent tenho q aprender a viver com a dor .	dipirona	dor
tocosono amig tome tylenol ou dipirona pra essa febre se a garganta estiver inflamada tu toma nimesulida 12 em 12h pros catarro eu n sei .	tylenol	febre
ultimamente minhas mãos fluem nicotina é vicia e mesmo indo pra morte me sinto mais viva boa noite .	nicotina	morte
tocosono amig tome tylenol ou dipirona pra essa febre se a garganta estiver inflamada tu toma nimesulida 12 em 12h pros catarro eu n sei .	nimesulida	febre
n sei se é a nicotina ou as raiva que eu passo .	nicotina	raiva
médicos alertam a mistura de sertralina e álcool pois não só pode levar a pessoa ao coma ou ter lesões cerebrais irreversíveis e a morte .	álcool	morte
médicos alertam a mistura de sertralina e álcool pois não só pode levar a pessoa ao coma ou ter lesões cerebrais irreversíveis e a morte .	álcool	coma
meninas que são miss enxaqueca e vivem a base de ibuprofeno me add .	ibuprofeno	enxaqueca
esse calor só ataca minha sinusite to viciado em paracetamol já .	paracetamol	calor
médicos alertam a mistura de sertralina e álcool pois não só pode levar a pessoa ao coma ou ter lesões cerebrais irreversíveis e a morte .	sertralina	morte
médicos alertam a mistura de sertralina e álcool pois não só pode levar a pessoa ao coma ou ter lesões cerebrais irreversíveis e a morte .	sertralina	coma
melhoras para sua dor cuide bem de você bom dia que sua dor possa ir embora omeprazol em jejum ajuda bem https twitter com nan bicalho status 769101311178575872 .	omeprazol	dor
melhoras para sua dor cuide bem de você bom dia que sua dor possa ir embora omeprazol em jejum ajuda bem https twitter com nan bicalho status 769101311178575872 .	omeprazol	dor
zinco é igual a dor no estômago .	zinco	dor
esse tratamento de alergia com vacina é um pânico eterno pra quem tem medo de agulha dá não .	vacina	medo
fiz a merda de esquecer de tomar omeprazol hj agora aguenta a dor no estômago fdp .	omeprazol	dor
esse tratamento de alergia com vacina é um pânico eterno pra quem tem medo de agulha dá não .	vacina	alergia
odeio ter alergia a nicotina smp fico passando mal nas festas .	nicotina	alergia
você vai no medico avisa que tem alergia a penicilina e adivinha ele te passa um antibiótico com o que penicilina que delicia .	penicilina	alergia
você vai no medico avisa que tem alergia a penicilina e adivinha ele te passa um antibiótico com o que penicilina que delicia .	penicilina	alergia
cheguei agora em casa tive uma crise de pressão alta dor lombar pressão 18 10 a médica fez captropril meloxicam http fb me 7ddfbqw6e .	meloxicam	dor lombar
to ansioso to até tomando fluoxetina pra aguentar a ansiedade .	fluoxetina	ansiedade
até o buscopam me deu alergia to com edema aí meu senhor ir na unimed só tomar hidrocortisona .	hidrocortisona	edema
até o buscopam me deu alergia to com edema aí meu senhor ir na unimed só tomar hidrocortisona .	hidrocortisona	alergia
9 dia tomando hidroxicloroquina e já estou me sentindo febril e com uma puta dor de estômago mas vamos que vamos .	hidroxicloroquina	dor
a minha janela da de frente pra u telhado de zinco agora imaginem o calor é isso mesmo .	zinco	calor
coluna enxaqueca alergia e um paracetamol pra uma eventual dor desconhecida https twitter com luscas status 722598472365555712 .	paracetamol	enxaqueca
coluna enxaqueca alergia e um paracetamol pra uma eventual dor desconhecida https twitter com luscas status 722598472365555712 .	paracetamol	alergia
coluna enxaqueca alergia e um paracetamol pra uma eventual dor desconhecida https twitter com luscas status 722598472365555712 .	paracetamol	dor
só queria um nimesulida p passar minha dor na nuca e poder dormir to padecendo .	nimesulida	dor
to com dor de cabeça por falta de cafeína porém sigo com preguiça de sair de casa pra tomar café .	cafeína	dor de cabeça
passei pelos estágios de sono overdose de cafeína extrema agitação irritabilidade e vontade de chorar de sono .	cafeína	sono
passei pelos estágios de sono overdose de cafeína extrema agitação irritabilidade e vontade de chorar de sono .	cafeína	agitação
passei pelos estágios de sono overdose de cafeína extrema agitação irritabilidade e vontade de chorar de sono .	cafeína	sono
passei pelos estágios de sono overdose de cafeína extrema agitação irritabilidade e vontade de chorar de sono .	cafeína	irritabilidade
espirando nariz entopido dor no corpo gripe toma nimesulida 1 capsula de 12 em 12 hrs https twitter com duh moleta status 783138424169586688 .	nimesulida	gripe
espirando nariz entopido dor no corpo gripe toma nimesulida 1 capsula de 12 em 12 hrs https twitter com duh moleta status 783138424169586688 .	nimesulida	dor
minha xabeca ta doendo mto fui fuma ora passa a dor ta doendo kais cigarro ja nao eh mais meu remedio snrz vo te q larga a nicotina .	nicotina	dor
se o cara tiver raiva era bom tomar uma vacina .	vacina	raiva
queria deixar registrado meu agradecimento à abonvechio que me forneceu um omeprazol pra minha dor de cabeça ontem .	omeprazol	dor de cabeça
gente alguém que já tomou fluoxetina sentiu muito enjoo .	fluoxetina	enjoo
ela acontece quando o nível de glicose fica baixo demais e geralmente ocorre em quem possui diabetes mas pode afetar quem não tem a doença pic twitter com kfxpl0uhih .	glicose	diabetes
0 5 é a dosagem mínima se você não tem alergia a ibuprofeno amanhã você vai acordar sem dor .	ibuprofeno	dor
0 5 é a dosagem mínima se você não tem alergia a ibuprofeno amanhã você vai acordar sem dor .	ibuprofeno	alergia
tou a bater com a ansiedade preciso de nicotina .	nicotina	ansiedade
não recomendo ninguém a tomar um paracetamol de 750 nesse calor glr .	paracetamol	calor
tô tomando tanto paracetamol dipirona e ibuprofeno pra essa dor passar e nada .	paracetamol	dor
tô tomando tanto paracetamol dipirona e ibuprofeno pra essa dor passar e nada .	ibuprofeno	dor
tô tomando tanto paracetamol dipirona e ibuprofeno pra essa dor passar e nada .	dipirona	dor
tuitando a base de 100 mg de fluoxetina pra nao passa a famosa raiva .	fluoxetina	raiva
joyce querendo quer que eu segure dipirona pra ela sabendo que tenho alergia .	dipirona	alergia
naramig naratriptana é a única coisa que me resolve qdo ataco da enxaqueca .	naramig	enxaqueca
naramig naratriptana é a única coisa que me resolve qdo ataco da enxaqueca .	naratriptana	enxaqueca
toma um remédio forte p dor antes tipo dipirona 1g se seu médico deixar pq diminui o desconforto .	dipirona	dor
toma um remédio forte p dor antes tipo dipirona 1g se seu médico deixar pq diminui o desconforto .	dipirona	desconforto
não sei quem culpar pela enxaqueca de hoje o cabelo a vista ou a falta da cafeína .	cafeína	enxaqueca
dessacohen eu tava bebada kkkkk acordei de um coma alcoolico e ele tava enfiando uma agulha em mim pra injetar glicose eu n entendi nada .	glicose	coma
lembrei do uso dos efeitos no lençol da cama o cheiro é psicoativo suor que derrama sua pele excita dopamina http fb me 7dxt2cg8k .	dopamina	suor
kodoji toma bicarbonato de sódio que para a azia .	bicarbonato de sódio	azia
gente bromoprida é remédio p dor no estômago .	bromoprida	dor
vou viver a base de couve e omeprazol mas se essa dor passa couve vai ser meu novo açai .	omeprazol	dor
tive que sair mais cedo provavelmente baixou minha glicose e me deu dor de cabeça .	glicose	dor de cabeça
a automedicação é um perigo porque por aliviar a dor do paciente muitas vezes o omeprazol acaba por mascarar http fb me 4oqcedvwg .	omeprazol	dor
com muito suor e testosterona 3 https twitter com texeiraleo status 771908224614301696 .	testosterona	suor
já tomei dorflex já tomei paracetamol já tomei a puta q pariu de remédio de dor e nada dessa cólica me deixar muito bem .	paracetamol	dor
já tomei dorflex já tomei paracetamol já tomei a puta q pariu de remédio de dor e nada dessa cólica me deixar muito bem .	dorflex	dor
tomei um paracetamol de comprimido de 500 ml p ver se essa dor melhora um pouco .	paracetamol	dor
deus se não for tu na causa do meu estômago e da minha ansiedade omeprazol não vai ser .	omeprazol	ansiedade
paracetamol é pra dor e febre não é pra cólica em si mas a dor pode ser que amenize .	paracetamol	febre
paracetamol é pra dor e febre não é pra cólica em si mas a dor pode ser que amenize .	paracetamol	dor
paracetamol é pra dor e febre não é pra cólica em si mas a dor pode ser que amenize .	paracetamol	dor
eu não tenho fluoxetina o bastante pra lidar com essa ansiedade de esperar coisa por correio .	fluoxetina	ansiedade
minha mãe só compra dipirona de 500 mg e eu tenho que tomar 2 juntas quando tô com dor de cabeça e às vezes nem passa .	dipirona	dor de cabeça
ficar com fome 2 minutos dps de ter jantado seria a famigerada ansiedade ou o famigerado vicio da nicotina ou ambos .	nicotina	ansiedade
ficar com fome 2 minutos dps de ter jantado seria a famigerada ansiedade ou o famigerado vicio da nicotina ou ambos .	nicotina	fome
aqui tem um prof tão fofo que comprou paracetamol pra mim pq tenho alergia a dipirona .	dipirona	alergia
aqui tem um prof tão fofo que comprou paracetamol pra mim pq tenho alergia a dipirona .	paracetamol	alergia
é muita dor deus me livre ainda bem q tenho estoque de ranitidina pq se n tava lascada .	ranitidina	dor
liviasalves se for dor pantoprazol 20 mg 1x dia em jejum se for desconforto gaviscon resolve .	pantoprazol	desconforto
liviasalves se for dor pantoprazol 20 mg 1x dia em jejum se for desconforto gaviscon resolve .	pantoprazol	dor
se remédio pra dor de cabeça cortasse eu tava fodida miga pq tomo quase todos os dias omeprazol também .	omeprazol	dor de cabeça
coitada eu sei bem o que é essa dor vc já usou piroxicam era o que fazia um efeito melhor .	piroxicam	dor
não tenho motivo pra ter depressão enfia no cu minha cartela de sertralina .	sertralina	depressão
nimesulida só da diarreia como efeito colateral e leva uma vida pra gente ficar bem .	nimesulida	diarreia
dor de barriga segundo dia chá sene é potente até demais af .	sene	dor
acho que a dor de cabeça e a garganta seca que to sentindo é a falta da nicotina no organismo é mt difícil parar de fumar .	nicotina	dor de cabeça
acho que a dor de cabeça e a garganta seca que to sentindo é a falta da nicotina no organismo é mt difícil parar de fumar .	nicotina	garganta seca
toma ibuprofeno e compra bastante mel pra aliviar a dor .	ibuprofeno	dor
eu falei pra tia regina te dar aquela merda da vacina contra raiva mas parece q ela n me escutou .	vacina contra raiva	tia
durante um ano vou ter que vim de floripa a joinville uma vez por semana pra aplicar uma vacina contra esse tanto de alergia que eu tenho .	vacina	alergia
que ta tendo crise de ansiedade não tem noção da merda que é ter que tomar venlafaxina todo dia pra conseguir sair de casa sem passar mal .	venlafaxina	ansiedade
tirando a depressão esse ta sendo meu kit omeprazol e mais omeprazol pic twitter com 6vrd87aadn .	omeprazol	depressão
tirando a depressão esse ta sendo meu kit omeprazol e mais omeprazol pic twitter com 6vrd87aadn .	omeprazol	depressão
