Candidate	Event	E_Char_Start	E_Char_end	E_Word_Index	Remedy	R_Char_Start	R_Char_end	R_Word_Index	Is_inverted	Label
af queria n ter mais alergia à dipirona .	dipirona	31	38	7	alergia	21	27	5	1	-1
meninama6 ah fiquei passando mal sábado e domingo com uma dor de estomago nada que um omeprazol não resolva no mais de boa .	omeprazol	86	94	16	dor	58	60	10	1	-1
nem com dopamina eu to dormindo rebelde essa minha ansiedade .	dopamina	8	15	2	ansiedade	51	59	9	0	-1
estou com uma dor aqui verifica minha pressão o que é bom p essa ferida aqui minha glicose está alta aaaaa vizinhos .	glicose	83	89	17	dor	14	16	3	1	-1
estou com uma dor aqui verifica minha pressão o que é bom p essa ferida aqui minha glicose está alta aaaaa vizinhos .	glicose	83	89	17	ferida	65	70	14	1	-1
imagens de dor e sofrimento para vcs dessa bomba de glicose	glicose	52	58	10	dor	11	13	2	1	-1
tonymacedo1 estadao imagina calor de 35 c em cima do zinco com 35 por alunos nas salas de aulas dr alckmin é insano .	zinco	53	57	10	calor	28	32	3	1	-1
acho que vou tentar esse aminofilina será que dá dor de cabeça amproblems .	aminofilina	25	35	5	dor de cabeça	49	61	1395	0	-1
acordei com dor de cabeça já vou tomar uns dois paracetamol pra dormir de nvoo .	paracetamol	48	58	10	dor de cabeça	12	24	1408	1	-1
diminuir a ansiedade fuma afu quando tiver bêbada no fim de semana que é mais fácil desassociar o estresse com a nicotina .	nicotina	113	120	21	estresse	98	105	18	1	-1
diminuir a ansiedade fuma afu quando tiver bêbada no fim de semana que é mais fácil desassociar o estresse com a nicotina .	nicotina	113	120	21	ansiedade	11	19	2	1	-1
a cafeina entra na mente explode ansiedade e eu aqui viciada nessa arte .	cafeina	2	8	1	ansiedade	33	41	6	0	-1
hoje vou toma paracetamol que nem louca pra ver se passa essa dor .	paracetamol	14	24	3	dor	62	64	12	0	-1
omeprazol é meu pastor e a azia nunca me atingirá .	omeprazol	0	8	0	azia	27	30	6	0	-1
comi tive uma azia animal omeprazol direto na madruga .	omeprazol	26	34	5	azia	14	17	3	1	-1
tomando nimesulida para essa dor na clavícula .	nimesulida	8	17	1	dor	29	31	4	0	-1
amendoim côco calor pena poeira pelo dipirona	dipirona	37	44	6	calor	14	18	2	1	-1
odeio tomar dipirona dá calor pra porra .	dipirona	12	19	2	calor	24	28	4	0	-1
toma dipirona e alguma pastilha pra garganta febre nesse calor é fogo literalmente .	dipirona	5	12	1	febre	45	49	7	0	-1
toma dipirona e alguma pastilha pra garganta febre nesse calor é fogo literalmente .	dipirona	5	12	1	calor	57	61	9	0	-1
railane f a essa altura estouno hospital em coma tomando glicose .	glicose	57	63	10	coma	44	47	8	1	-1
q fiquei viciada nesse remédio ai nimesulida nimesubal melhor pra tudo q é dor .	nimesubal	45	53	7	dor	75	77	13	0	-1
q fiquei viciada nesse remédio ai nimesulida nimesubal melhor pra tudo q é dor .	nimesulida	34	43	6	dor	75	77	13	0	-1
omeprazol é meu pastor e dor de estômago não restará .	omeprazol	0	8	0	dor	25	27	5	0	-1
tomando o remedinho da alergia louvada seja loratadina .	loratadina	44	53	7	alergia	23	29	4	1	-1
acabei de tomar uma dipirona espero que amenize a dor .	dipirona	20	27	4	dor	50	52	9	0	-1
aquela dor fina que se sene no coração ao se dar conta de que não vai pra ccxp dói vey dói muito .	sene	23	26	5	dor	7	9	1	1	-1
caramba nunca senti uma dor tão forte no estômago como hoje nem omeprazol adiantou .	omeprazol	64	72	12	dor	24	26	4	1	-1
queensregent gente cuidado q teve uma pesquisa q mostrava q omeprazol causa depressão eu tomava tb até ver isso .	omeprazol	60	68	10	depressão	76	84	12	0	-1
ate ter coma de glicose .	glicose	16	22	4	coma	8	11	2	1	-1
ainda to c raiva da desgracada q me negou uma mísera receita de zolpidem .	zolpidem	64	71	13	raiva	11	15	3	1	-1
e essa dor no estômago chegou foi desgraçando tudo cad o lansoprazol .	lansoprazol	57	67	11	dor	7	9	2	1	-1
odeio tomar dipirona pq fico c tanto calor q jesus .	dipirona	12	19	2	calor	37	41	7	0	-1
1000 mg de naproxeno pra enxaqueca e mais um punhado de notícia punk pra começar a semana tá lindo já acabou jessica .	naproxeno	11	19	3	enxaqueca	25	33	5	0	-1
estou morrendo de calor por causa da dipirona .	dipirona	37	44	7	calor	18	22	3	1	-1
omeprazol é meu pastor e dor no estomago nao atacará .	omeprazol	0	8	0	dor	25	27	5	0	-1
fui perguntar minha tia se ranitidina é pra dor de cabeça	ranitidina	27	36	5	dor de cabeça	44	56	14097	0	-1
fui perguntar minha tia se ranitidina é pra dor de cabeça	ranitidina	27	36	5	tia	20	22	3	1	-1
tomando omeprazol porque a dor começou cedo hoje .	omeprazol	8	16	1	dor	27	29	4	0	-1
o matheus nao tomou o fluoxetina dele a depressão ta foda .	fluoxetina	22	31	5	depressão	40	48	8	0	-1
vamo de dipirona pra febre .	dipirona	8	15	2	febre	21	25	4	0	-1
foi só comer doce que a dor de cabeça atacou tô com medo dessa glicose .	glicose	63	69	14	medo	52	55	12	1	-1
foi só comer doce que a dor de cabeça atacou tô com medo dessa glicose .	glicose	63	69	14	dor de cabeça	24	36	9288	1	-1
tenho que levar minha cadela na 16 hj pra tomar a vacina mais com esse calor ta foda .	vacina	50	55	11	calor	71	75	15	0	-1
meu médico me tira o rivotril que funcionava e me dá esse zolpidem que só dá depressão sono mesmo nada .	rivotril	21	28	5	sono	87	90	17	0	-1
meu médico me tira o rivotril que funcionava e me dá esse zolpidem que só dá depressão sono mesmo nada .	rivotril	21	28	5	depressão	77	85	16	0	-1
meu médico me tira o rivotril que funcionava e me dá esse zolpidem que só dá depressão sono mesmo nada .	zolpidem	58	65	12	sono	87	90	17	0	-1
meu médico me tira o rivotril que funcionava e me dá esse zolpidem que só dá depressão sono mesmo nada .	zolpidem	58	65	12	depressão	77	85	16	0	-1
paracetamol faz bem pra dor de garganta só queria informar pois dessa eu não sabia .	paracetamol	0	10	0	dor de garganta	24	38	14040	0	-1
omeprazol ranitidina digesan e ainda estou cm dor e enjôo .	omeprazol	0	8	0	dor	46	48	7	0	-1
omeprazol ranitidina digesan e ainda estou cm dor e enjôo .	omeprazol	0	8	0	enjôo	52	56	9	0	-1
omeprazol ranitidina digesan e ainda estou cm dor e enjôo .	digesan	21	27	2	dor	46	48	7	0	-1
omeprazol ranitidina digesan e ainda estou cm dor e enjôo .	digesan	21	27	2	enjôo	52	56	9	0	-1
omeprazol ranitidina digesan e ainda estou cm dor e enjôo .	ranitidina	10	19	1	dor	46	48	7	0	-1
omeprazol ranitidina digesan e ainda estou cm dor e enjôo .	ranitidina	10	19	1	enjôo	52	56	9	0	-1
vou pega um paracetamol e esquenta uma agua pq to cm mt dor socorro .	agua	39	42	7	dor	56	58	12	0	-1
vou pega um paracetamol e esquenta uma agua pq to cm mt dor socorro .	paracetamol	12	22	3	dor	56	58	12	0	-1
pior que o donarem eu já deixei total de lado exceto quando tenho a maldita enxaqueca da abstinência da venlafaxina .	venlafaxina	104	114	19	enxaqueca	76	84	15	1	-1
kit sobrevivência neosoro loratadina fluoxetina omeprazol alergia ansiedade gastrite .	loratadina	26	35	3	ansiedade	66	74	7	0	-1
kit sobrevivência neosoro loratadina fluoxetina omeprazol alergia ansiedade gastrite .	loratadina	26	35	3	gastrite	76	83	8	0	-1
kit sobrevivência neosoro loratadina fluoxetina omeprazol alergia ansiedade gastrite .	loratadina	26	35	3	alergia	58	64	6	0	-1
kit sobrevivência neosoro loratadina fluoxetina omeprazol alergia ansiedade gastrite .	omeprazol	48	56	5	ansiedade	66	74	7	0	-1
kit sobrevivência neosoro loratadina fluoxetina omeprazol alergia ansiedade gastrite .	omeprazol	48	56	5	gastrite	76	83	8	0	-1
kit sobrevivência neosoro loratadina fluoxetina omeprazol alergia ansiedade gastrite .	omeprazol	48	56	5	alergia	58	64	6	0	-1
kit sobrevivência neosoro loratadina fluoxetina omeprazol alergia ansiedade gastrite .	fluoxetina	37	46	4	ansiedade	66	74	7	0	-1
kit sobrevivência neosoro loratadina fluoxetina omeprazol alergia ansiedade gastrite .	fluoxetina	37	46	4	gastrite	76	83	8	0	-1
kit sobrevivência neosoro loratadina fluoxetina omeprazol alergia ansiedade gastrite .	fluoxetina	37	46	4	alergia	58	64	6	0	-1
apesar de as confusões iniciais e me deixar desnutrida topiramato acabou com a minha enxaqueca até voltei a tomar café como é bom café .	topiramato	55	64	9	enxaqueca	85	93	14	0	-1
to tomando sibutramina partiu depressão .	sibutramina	11	21	2	depressão	30	38	4	0	-1
mas a enxaqueca que eu to é falta de nicotina com crtz .	nicotina	37	44	9	enxaqueca	6	14	2	1	-1
até ontem tava vivendo a base de omeprazol hoje já vou ter que procurar um remédio pra dor de garganta eita que tá difícil .	omeprazol	33	41	7	dor de garganta	87	101	1664	0	-1
deus me ajuda só faz esse omeprazol agir rápido essa dor passar pra eu poder dormir .	omeprazol	26	34	6	dor	53	55	10	0	-1
foi só eu tomar um café que a dor de cabeça passou te amo cafeína .	cafeína	58	64	14	dor de cabeça	30	42	9289	1	-1
ta e eu q tenho q fazer a vacina da febre amarela amanha .	vacina	26	31	8	febre	36	40	10	0	-1
depois de ibuprofeno novalgina dipirona e um antialérgico tds juntos eu estou sem sono e com dor como isso sexta no globo repórter .	dipirona	31	38	4	dor	93	95	16	0	-1
depois de ibuprofeno novalgina dipirona e um antialérgico tds juntos eu estou sem sono e com dor como isso sexta no globo repórter .	dipirona	31	38	4	sono	82	85	13	0	-1
depois de ibuprofeno novalgina dipirona e um antialérgico tds juntos eu estou sem sono e com dor como isso sexta no globo repórter .	novalgina	21	29	3	dor	93	95	16	0	-1
depois de ibuprofeno novalgina dipirona e um antialérgico tds juntos eu estou sem sono e com dor como isso sexta no globo repórter .	novalgina	21	29	3	sono	82	85	13	0	-1
depois de ibuprofeno novalgina dipirona e um antialérgico tds juntos eu estou sem sono e com dor como isso sexta no globo repórter .	ibuprofeno	10	19	2	dor	93	95	16	0	-1
depois de ibuprofeno novalgina dipirona e um antialérgico tds juntos eu estou sem sono e com dor como isso sexta no globo repórter .	ibuprofeno	10	19	2	sono	82	85	13	0	-1
que comece a tortura entre gastrite e ansiedade estoque de omeprazol pra esse semestre ta pronto .	omeprazol	59	67	10	ansiedade	38	46	7	1	-1
que comece a tortura entre gastrite e ansiedade estoque de omeprazol pra esse semestre ta pronto .	omeprazol	59	67	10	gastrite	27	34	5	1	-1
paracetamol não adianta tem que ver um remédio pra dor forte .	paracetamol	0	10	0	dor	51	53	9	0	-1
